Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	reference_condition	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	ScientificName_curated	Host	Knockout	Other_available_omics	Biological_replicate	Technical_replicate	SampleID	R1	R2
SRX1392953	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846613	SRP065437	PRJNA300406	300406	SRS1138032	SAMN04221301	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978712	GSE74433	GSM1920477	27601574	4221301	SF102	SF102	NC_016863.1, NC_016864.1	aroA	SF102	WT	ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102		ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA		2	1	SF102_2		
SRX1392954	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846614	SRP065437	PRJNA300406	300406	SRS1138031	SAMN04221302	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978713	GSE74433	GSM1920478	27601574	4221302	wildtype	wildtype	NC_016863.1, NC_016864.1	aroA	WT_vivo	WT	WT				Aerobic						CT26 tumor infected with S. Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	Mouse	WT		1	1	WT_vivo_1		
SRX1392955	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846615	SRP065437	PRJNA300406	300406	SRS1138030	SAMN04221303	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978714	GSE74433	GSM1920479	27601574	4221303	wildtype	wildtype	NC_016863.1, NC_016864.1	aroA	WT_vivo	WT	WT				Aerobic						CT26 tumor infected with S. Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	Mouse	WT		2	1	WT_vivo_2		
SRX1392956	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846616	SRP065437	PRJNA300406	300406	SRS1138029	SAMN04221304	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978715	GSE74433	GSM1920480	27601574	4221304	SF102	SF102	NC_016863.1, NC_016864.1	aroA	SF102_vivo	WT	ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA				Aerobic						CT26 tumor infected with S. Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA		1	1	SF102_vivo_1		
SRX1392957	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846617	SRP065437	PRJNA300406	300406	SRS1138028	SAMN04221305	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978716	GSE74433	GSM1920481	27601574	4221305	SF102	SF102	NC_016863.1, NC_016864.1	aroA	SF102_vivo	WT	ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA				Aerobic						CT26 tumor infected with S. Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA		2	1	SF102_vivo_2		
SRX4340129	11/28/19 19:58	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR7470362	SRP151987	PRJNA479668	479668	SRS3500859	SAMN09598762	SRA733310	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	5895817	GSE116623	GSM3244218	31755108	9598762	SF102	SF102	NC_016863.1, NC_016864.1	flagella_mutants	SF102	SF102	SF102	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	ΔlpxR ΔpagP ΔpagL ΔaroA		1	1	SF102_1		
SRX4340130	11/28/19 19:58	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR7470363	SRP151987	PRJNA479668	479668	SRS3500860	SAMN09598761	SRA733310	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	5895818	GSE116623	GSM3244219	31755108	9598761	SF102	SF102	NC_016863.1, NC_016864.1	flagella_mutants	SF102	SF102	SF102	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	ΔlpxR ΔpagP ΔpagL ΔaroA		2	1	SF102_2		
SRX4340131	11/28/19 19:58	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR7470364	SRP151987	PRJNA479668	479668	SRS3500861	SAMN09598760	SRA733310	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	5895819	GSE116623	GSM3244220	31755108	9598760	del_fliHIJ	del_fliHIJ	NC_016863.1, NC_016864.1	flagella_mutants	del_fliHIJ	SF102	del_fliHIJ	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	fliHIJ		1	1	del_fliHIJ_1		
SRX4340132	11/28/19 19:58	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR7470365	SRP151987	PRJNA479668	479668	SRS3500862	SAMN09598765	SRA733310	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	5895820	GSE116623	GSM3244221	31755108	9598765	del_fliHIJ	del_fliHIJ	NC_016863.1, NC_016864.1	flagella_mutants	del_fliHIJ	SF102	del_fliHIJ	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	fliHIJ		2	1	del_fliHIJ_2		
SRX4340133	11/28/19 19:58	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR7470366	SRP151987	PRJNA479668	479668	SRS3500863	SAMN09598764	SRA733310	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	5895821	GSE116623	GSM3244222	31755108	9598764	del_fliF	del_fliF	NC_016863.1, NC_016864.1	flagella_mutants	del_fliF	SF102	del_fliF	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	fliF		1	1	del_fliF_1		
SRX4340134	11/28/19 19:58	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR7470367	SRP151987	PRJNA479668	479668	SRS3500864	SAMN09598763	SRA733310	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	5895822	GSE116623	GSM3244223	31755108	9598763	del_fliF	del_fliF	NC_016863.1, NC_016864.1	flagella_mutants	del_fliF	SF102	del_fliF	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102	Mouse	fliF		2	1	del_fliF_2		
SRX8537511	2020-06-12 12:47:32	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	BGISEQ	BGISEQ-500	SRR12004282	SRP267076	PRJNA639098	639098	SRS6832472	SAMN15223297	SRA1086384	RNA-Seq	PCR	TRANSCRIPTOMIC		SHANDONG UNIVERSITY	0	0	11095050				15223297	8956		NC_016863.1, NC_016864.1	myricanol	Myricanol	Control	8956				Aerobic							Salmonella enterica subsp. enterica serovar Typhimurium str. 8956	Human	WT		3	1	Myricanol_3		
SRX8537508	2020-06-12 12:46:13	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	BGISEQ	BGISEQ-500	SRR12004285	SRP267076	PRJNA639098	639098	SRS6832469	SAMN15223294	SRA1086384	RNA-Seq	PCR	TRANSCRIPTOMIC		SHANDONG UNIVERSITY	0	0	11095047				15223294	8956		NC_016863.1, NC_016864.1	myricanol	Control	Control	8956				Aerobic							Salmonella enterica subsp. enterica serovar Typhimurium str. 8956	Human	WT		3	1	Control_3		
SRX8537510	2020-06-12 12:46:13	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	BGISEQ	BGISEQ-500	SRR12004283	SRP267076	PRJNA639098	639098	SRS6832471	SAMN15223296	SRA1086384	RNA-Seq	PCR	TRANSCRIPTOMIC		SHANDONG UNIVERSITY	0	0	11095049				15223296	8956		NC_016863.1, NC_016864.1	myricanol	Myricanol	Control	8956				Aerobic							Salmonella enterica subsp. enterica serovar Typhimurium str. 8956	Human	WT		2	1	Myricanol_2		
SRX8537506	2020-06-12 12:47:32	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	BGISEQ	BGISEQ-500	SRR12004287	SRP267076	PRJNA639098	639098	SRS6832467	SAMN15223292	SRA1086384	RNA-Seq	PCR	TRANSCRIPTOMIC		SHANDONG UNIVERSITY	0	0	11095045				15223292	8956		NC_016863.1, NC_016864.1	myricanol	Control	Control	8956				Aerobic							Salmonella enterica subsp. enterica serovar Typhimurium str. 8956	Human	WT		1	1	Control_1		
SRX8537507	2020-06-12 13:17:39	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	BGISEQ	BGISEQ-500	SRR12004286	SRP267076	PRJNA639098	639098	SRS6832468	SAMN15223293	SRA1086384	RNA-Seq	PCR	TRANSCRIPTOMIC		SHANDONG UNIVERSITY	0	0	11095046				15223293	8956		NC_016863.1, NC_016864.1	myricanol	Control	Control	8956				Aerobic							Salmonella enterica subsp. enterica serovar Typhimurium str. 8956	Human	WT		2	1	Control_2		
SRX8537509	2020-06-12 13:24:44	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	BGISEQ	BGISEQ-500	SRR12004284	SRP267076	PRJNA639098	639098	SRS6832470	SAMN15223295	SRA1086384	RNA-Seq	PCR	TRANSCRIPTOMIC		SHANDONG UNIVERSITY	0	0	11095048				15223295	8956		NC_016863.1, NC_016864.1	myricanol	Myricanol	Control	8956				Aerobic							Salmonella enterica subsp. enterica serovar Typhimurium str. 8956	Human	WT		1	1	Myricanol_1		
