,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX4665690,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814120,SRP160917,PRJNA490148,490148,SRS3760687,SAMN10026164,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323839,GSE119724,GSM3381702,30645593,10026164,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Macrophage,D23580_MEP,WT,DMEM,,,Aerobic,5% fetal bovine serum & L-glutamine (2 mM final concentration) and MEM non-essential amino acids without antibiotics,37C,,,,Bacteria from the intra-macrophage (RAW264.7) environment were recovered after 8 h post-infection,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,2.0,1.0,Macrophage-2,,,True,True,True,comparative_D23580:D23580_Macrophage,True,True
SRX4665681,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814111,SRP160917,PRJNA490148,490148,SRS3760689,SAMN10026173,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323830,GSE119724,GSM3381693,30645593,10026173,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_ESP,D23580_MEP,WT,LB,,,Aerobic,,37C,,Early-stationary,2.0,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,ESP,,,True,True,True,comparative_D23580:D23580_ESP,True,True
SRX4665687,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814117,SRP160917,PRJNA490148,490148,SRS3760684,SAMN10026167,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323836,GSE119724,GSM3381699,30645593,10026167,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Low_Fe2+_shock,D23580_MEP,WT,LB,,,Aerobic,,37C,,,0.3,"Growth in Lennox broth at 37ºC,220 rpm (in a water bath),to OD600 nm0.3, then addition of 2,2’-dipyridyl to a final concentration of 0.2 mMfor 10 min in the same incubation conditions.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,Low_Fe2+_shock,,,True,True,True,comparative_D23580:D23580_Low_Fe2+_shock,False,True
SRX4665676,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814106,SRP160917,PRJNA490148,490148,SRS3760674,SAMN10026148,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323825,GSE119724,GSM3381688,30645593,10026148,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Bile_shock,D23580_MEP,WT,LB,,,Aerobic,,37C,,,0.3,"Growthin Lennox broth at 37ºC,220 rpm (in a water bath),to OD600 nm0.3, then addition of bileto a final concentration of 3% for 10 min in the same incubation conditions.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,Bile_shock,,,True,True,True,comparative_D23580:D23580_Bile_shock,False,True
SRX4665693,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814123,SRP160917,PRJNA490148,490148,SRS3760692,SAMN10026161,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323842,GSE119724,GSM3381705,30645593,10026161,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_NaCl_shock,D23580_MEP,WT,LB,,,Aerobic,,37C,,,0.3,"Growth in Lennox broth at 37ºC,220 rpm (in a water bath),to OD600 nm0.3, then addition of NaCl to a final concentration of 0.3 M for 10 min in the same incubation conditions.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,NaCl_shock,,,True,True,True,comparative_D23580:D23580_NaCl_shock,False,True
SRX4665692,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814122,SRP160917,PRJNA490148,490148,SRS3760718,SAMN10026162,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323841,GSE119724,GSM3381704,30645593,10026162,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_MEP,D23580_MEP,WT,LB,,,Aerobic,,37C,,Mid-log,0.3,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,MEP,,,True,True,True,comparative_D23580:D23580_MEP,False,True
SRX7268192,2020-04-24 16:50:14,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR10588328,SRP160917,PRJNA490148,490148,SRS5762683,SAMN13482059,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,9542707,GSE119724,GSM4204389,30645593,13482059,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Macrophage_dRNA_1,D23580_MEP,WT,DMEM,,,Aerobic,5% fetal bovine serum & L-glutamine (2 mM final concentration) and MEM non-essential amino acids without antibiotics,37C,,,,Bacteria from the intra-macrophage (RAW264.7) environment were recovered after 8 h post-infection,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,D23580_Macrophage_dRNA_1,,,True,True,True,comparative_D23580:D23580_Macrophage_dRNA_1,False,True
SRX3471977,12/17/17 19:11,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6377149,SRP126785,PRJNA422455,422455,SRS2758599,SAMN08178223,SRA638961,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4833541,GSE108104,GSM2889541,29487214,8178223,D23580,wildtype,NC_016854.1,pgtE,InSPI2_tex,Pooled,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,dRNA-Seq,1.0,1.0,InSPI2_tex,,,True,True,True,pgtE:InSPI2_tex,False,True
SRX4665684,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814114,SRP160917,PRJNA490148,490148,SRS3760681,SAMN10026170,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323833,GSE119724,GSM3381696,30645593,10026170,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_InSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,5.8,,0.3,"Growth in PCN medium (pH 5.8, 0.4 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,3.0,1.0,InSPI2-4,,,True,True,True,comparative_D23580:D23580_InSPI2,True,True
SRX4665677,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814107,SRP160917,PRJNA490148,490148,SRS3760675,SAMN10026152,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323826,GSE119724,GSM3381689,30645593,10026152,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_EEP,D23580_MEP,WT,LB,,,Aerobic,,37C,,Early-log,0.1,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,EEP,,,True,True,True,comparative_D23580:D23580_EEP,False,True
SRX4665698,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814128,SRP160917,PRJNA490148,490148,SRS3760695,SAMN10026146,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323847,GSE119724,GSM3381710,30645593,10026146,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_NO_shock_InSPI2,D23580_MEP,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,NO_shock_InSPI2,,,True,True,True,comparative_D23580:D23580_NO_shock_InSPI2,False,True
SRX4665675,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814105,SRP160917,PRJNA490148,490148,SRS3760673,SAMN10026149,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323824,GSE119724,GSM3381687,30645593,10026149,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Anaerobic_shock,D23580_MEP,WT,LB,,,Aerobic,,37C,,,0.3,"Growthin Lennox broth at 37ºC,220 rpm (in a water bath),to OD600 nm0.3, then transfer of 15 ml into a 15 ml Falcon tube and incubated statically at 37ºC for 30 min.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,Anaerobic_shock,,,True,True,True,comparative_D23580:D23580_Anaerobic_shock,False,True
SRX4665683,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814113,SRP160917,PRJNA490148,490148,SRS3760680,SAMN10026171,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323832,GSE119724,GSM3381695,30645593,10026171,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_InSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,5.8,,0.3,"Growth in PCN medium (pH 5.8, 0.4 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,2.0,1.0,InSPI2-3,,,True,True,True,comparative_D23580:D23580_InSPI2,True,True
SRX4665696,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814126,SRP160917,PRJNA490148,490148,SRS3760694,SAMN10026158,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323845,GSE119724,GSM3381708,30645593,10026158,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_NonSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,7.4,,0.3,"Growth in PCN medium (pH 7.4, 25 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,3.0,1.0,NonSPI2-4,,,True,True,True,comparative_D23580:D23580_NonSPI2,True,True
SRX4665694,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814124,SRP160917,PRJNA490148,490148,SRS3760691,SAMN10026160,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323843,GSE119724,GSM3381706,30645593,10026160,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_NonSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,7.4,,0.3,"Growth in PCN medium (pH 7.4, 25 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,NonSPI2-2,,,True,True,True,comparative_D23580:D23580_NonSPI2,True,True
SRX4665678,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814108,SRP160917,PRJNA490148,490148,SRS3760676,SAMN10026151,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323827,GSE119724,GSM3381690,30645593,10026151,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_ESP,D23580_MEP,WT,LB,,,Aerobic,,37C,,Early-stationary,2.0,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,2.0,1.0,ESP-2,,,True,True,True,comparative_D23580:D23580_ESP,True,True
SRX4665689,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814119,SRP160917,PRJNA490148,490148,SRS3760686,SAMN10026165,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323838,GSE119724,GSM3381701,30645593,10026165,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Macrophage,D23580_MEP,WT,DMEM,,,Aerobic,5% fetal bovine serum & L-glutamine (2 mM final concentration) and MEM non-essential amino acids without antibiotics,37C,,,,Bacteria from the intra-macrophage (RAW264.7) environment were recovered after 8 h post-infection,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,Macrophage-1,,,True,True,True,comparative_D23580:D23580_Macrophage,True,True
