Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	reference_condition	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	ScientificName_curated	Host	Knockout	Other_available_omics	Biological_replicate	Technical_replicate	SampleID	R1	R2
ERX1409470	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337884	ERP014698	PRJEB13158	329399	ERS1094610	SAMEA3907476	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812746				5411402	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409474	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337888	ERP014698	PRJEB13158	329399	ERS1094614	SAMEA3907480	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812750				5411406	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409481	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 1500	ERR1337877	ERP014698	PRJEB13158	329399	ERS1094621	SAMEA3907487	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	0	0	2812757				5411413	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409469	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337883	ERP014698	PRJEB13158	329399	ERS1094609	SAMEA3907475	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812745				5411401	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409479	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337893	ERP014698	PRJEB13158	329399	ERS1094619	SAMEA3907485	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812755				5411411	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409473	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337887	ERP014698	PRJEB13158	329399	ERS1094613	SAMEA3907479	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812749				5411405	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409482	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 1500	ERR1337878	ERP014698	PRJEB13158	329399	ERS1094622	SAMEA3907488	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	0	0	2812758				5411414	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409478	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337892	ERP014698	PRJEB13158	329399	ERS1094618	SAMEA3907484	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812754				5411410	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX3467881	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3445882	ERP116419	PRJEB33612	573440	ERS3589452	SAMEA5800835	ERA2043114	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065290			31589608	12810796	LT2	nusG under control of arabinose-inducible repressor	NC_003197.2;NC_003277.2	nusG	WT_OD08	WT_OD08	WT	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		WT		1	1	nusg_wt_OD08_1		
ERX3467882	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3445883	ERP116419	PRJEB33612	573440	ERS3589453	SAMEA5800836	ERA2043114	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065291			31589608	12810797	LT2	nusG under control of arabinose-inducible repressor	NC_003197.2;NC_003277.2	nusG	del_nusG_OD08	WT_OD08	del_nusG	LB			Aerobic	0.1 % arabinose	37C			0.8	arabinose-induced nusG depletion	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		nusG		1	1	nusg_ara_OD08_1		
ERX3467883	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3445884	ERP116419	PRJEB33612	573440	ERS3589454	SAMEA5800837	ERA2043114	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065292			31589608	12810798	LT2	nusG under control of arabinose-inducible repressor	NC_003197.2;NC_003277.2	nusG	WT_OD08	WT_OD08	WT	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		WT		2	1	nusg_wt_OD08_2		
ERX3467884	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3445885	ERP116419	PRJEB33612	573440	ERS3589455	SAMEA5800838	ERA2043114	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065293			31589608	12810799	LT2	nusG under control of arabinose-inducible repressor	NC_003197.2;NC_003277.2	nusG	del_nusG_OD08	WT_OD08	del_nusG	LB			Aerobic	0.1 % arabinose	37C			0.8	arabinose-induced nusG depletion	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		nusG		2	1	nusg_ara_OD08_2		
ERX3467885	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3445886	ERP116419	PRJEB33612	573440	ERS3589456	SAMEA5800839	ERA2043114	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065294			31589608	12810800	LT2	nusG under control of arabinose-inducible repressor	NC_003197.2;NC_003277.2	nusG	WT_OD05	WT_OD08	WT	LB			Aerobic		37C			0.5		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		WT		1	1	nusg_wt_OD05		
ERX3467886	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3445887	ERP116419	PRJEB33612	573440	ERS3589457	SAMEA5800840	ERA2043114	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065295			31589608	12810801	LT2	nusG under control of arabinose-inducible repressor	NC_003197.2;NC_003277.2	nusG	del_nusG_OD05	WT_OD08	del_nusG	LB			Aerobic	0.1 % arabinose	37C			0.5	arabinose-induced nusG depletion	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		nusG		1	1	nusg_ara_OD05		
ERX3503512	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481977	ERP116860	PRJEB34015	573444	ERS3655420	SAMEA5866928	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065299			31589608	12810802	LT2	wild type genotype	NC_003197.2;NC_003277.2	Rho	WT	WT	WT	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				1	1	rho_wt_1		
ERX3503513	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481978	ERP116860	PRJEB34015	573444	ERS3655421	SAMEA5866929	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065300			31589608	12810803	LT2	wild type genotype	NC_003197.2;NC_003277.2	Rho	WT	WT	WT	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				2	1	rho_wt_2		
ERX3503514	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481979	ERP116860	PRJEB34015	573444	ERS3655422	SAMEA5866930	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065301			31589608	12810804	LT2	wild type genotype	NC_003197.2;NC_003277.2	Rho	WT	WT	WT	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				3	1	rho_wt_3		
ERX3503515	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481980	ERP116860	PRJEB34015	573444	ERS3655423	SAMEA5866931	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065302			31589608	12810805	LT2	rho Y80C	NC_003197.2;NC_003277.2	Rho	rho_Y80C	WT	rho_Y80C	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				1	1	rho_y80c_1		
ERX3503516	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481981	ERP116860	PRJEB34015	573444	ERS3655424	SAMEA5866932	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065303			31589608	12810806	LT2	rho Y80C	NC_003197.2;NC_003277.2	Rho	rho_Y80C	WT	rho_Y80C	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				2	1	rho_y80c_2		
ERX3503517	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481982	ERP116860	PRJEB34015	573444	ERS3655425	SAMEA5866933	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065304			31589608	12810807	LT2	rho Y80C	NC_003197.2;NC_003277.2	Rho	rho_Y80C	WT	rho_Y80C	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				3	1	rho_y80c_3		
ERX3503518	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481983	ERP116860	PRJEB34015	573444	ERS3655426	SAMEA5866934	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065305			31589608	12810808	LT2	rho K130Q	NC_003197.2;NC_003277.2	Rho	rho_K130Q	WT	rho_K130Q	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				1	1	rho_k130q_1		
ERX3503519	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481984	ERP116860	PRJEB34015	573444	ERS3655427	SAMEA5866935	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065306			31589608	12810809	LT2	rho K130Q	NC_003197.2;NC_003277.2	Rho	rho_K130Q	WT	rho_K130Q	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				2	1	rho_k130q_2		
ERX3503520	9/23/19 10:41	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina MiSeq	ERR3481985	ERP116860	PRJEB34015	573444	ERS3655428	SAMEA5866936	ERA2091469	RNA-Seq	RANDOM	TRANSCRIPTOMIC		L. Bossi, N. Figueroa-Bossi	400	10	9065307			31589608	12810810	LT2	rho K130Q	NC_003197.2;NC_003277.2	Rho	rho_K130Q	WT	rho_K130Q	LB			Aerobic		37C			0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				3	1	rho_k130q_3		
SRX254827	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794915	SRP019960	PRJNA194147	194147	SRS403858	SAMN01990904	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355816	GSE45445	GSM1104435	23716638	1990904	LT2	sgrs	NC_003197.2;NC_003277.2	Rockhopper	sgrs	WT	sgrs	minimal MOPS			Aerobic				mid-log	0.3		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				1	1	sgrs		
SRX254825	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794913	SRP019960	PRJNA194147	194147	SRS403856	SAMN01990902	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355814	GSE45445	GSM1104433	23716638	1990902	LT2	deltasgrs	NC_003197.2;NC_003277.2	Rockhopper	deltasgrs	WT	deltasgrs	minimal MOPS			Aerobic				mid-log	0.3		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		sgrs		1	1	deltasgrs		
SRX254826	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794914	SRP019960	PRJNA194147	194147	SRS403857	SAMN01990903	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355815	GSE45445	GSM1104434	23716638	1990903	LT2	sgrs	NC_003197.2;NC_003277.2	Rockhopper	sgrs_treated	WT	sgrs	minimal MOPS			Aerobic				mid-log	0.3	15’ treatment with glucose-analog alpha-methyl glucoside	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2				1	1	sgrs_treated		
SRX254831	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794919	SRP019960	PRJNA194147	194147	SRS403862	SAMN01990908	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355820	GSE45445	GSM1104439	23716638	1990908	LT2	wild-type	NC_003197.2;NC_003277.2	Rockhopper	WT	WT	WT	minimal MOPS			Aerobic				mid-log	0.3		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		WT		1	1	WT		
SRX254824	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794912	SRP019960	PRJNA194147	194147	SRS403855	SAMN01990901	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355813	GSE45445	GSM1104432	23716638	1990901	LT2	deltasgr	NC_003197.2;NC_003277.2	Rockhopper	deltasgrs_treated	WT	deltasgr	minimal MOPS			Aerobic				mid-log	0.3	15’ treatment with glucose-analog alpha-methyl glucoside	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		sgrs		1	1	deltasgrs_treated		
SRX254829	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794917	SRP019960	PRJNA194147	194147	SRS403860	SAMN01990906	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355818	GSE45445	GSM1104437	23716638	1990906	LT2	sgrs sgrt	NC_003197.2;NC_003277.2	Rockhopper	sgrs_sgrt	WT	sgrs_sgrt	minimal MOPS			Aerobic				mid-log	0.3		Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		sgrs_sgrt		1	1	sgrs_sgrt		
SRX254830	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794918	SRP019960	PRJNA194147	194147	SRS403861	SAMN01990907	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355819	GSE45445	GSM1104438	23716638	1990907	LT2	wildtype	NC_003197.2;NC_003277.2	Rockhopper	WT_treated	WT	WT	minimal MOPS			Aerobic				mid-log	0.3	15’ treatment with glucose-analog alpha-methyl glucoside	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		WT		1	1	WT_treated		
SRX254828	3/28/13 9:09	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR794916	SRP019960	PRJNA194147	194147	SRS403859	SAMN01990905	SRA071486	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	355817	GSE45445	GSM1104436	23716638	1990905	LT2	sgrs sgrt	NC_003197.2;NC_003277.2	Rockhopper	sgrs_sgrt_treated	WT	sgrs_sgrt	minimal MOPS			Aerobic				mid-log	0.3	15’ treatment with glucose-analog alpha-methyl glucoside	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		sgrs_sgrt		1	1	sgrs_sgrt_treated		
SRX1258670	9/18/16 20:49	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1000	SRR2444799	SRP063839	PRJNA296349	296349	SRS1073748	SAMN04096043	SRA299346	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1807492	GSE73192	GSM1888400		4096043	LT2	WT	NC_003197.2;NC_003277.2	tomato	LB	LB	WT	LB			Aerobic						Grown for 3 days	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Human	WT		3	1	LB_3		
SRX1258663	9/18/16 20:49	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1000	SRR2444788	SRP063839	PRJNA296349	296349	SRS1073754	SAMN04096036	SRA299346	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1807485	GSE73192	GSM1888393		4096036	LT2	WT	NC_003197.2;NC_003277.2	tomato	tomato_shoot	LB	WT	tomato_shoot			Aerobic						Grown for 3 days	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Human	WT		2	1	tomato_shoot_2		
SRX1258666	9/18/16 20:49	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1000	SRR2444793	SRP063839	PRJNA296349	296349	SRS1073752	SAMN04096039	SRA299346	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1807488	GSE73192	GSM1888396		4096039	LT2	WT	NC_003197.2;NC_003277.2	tomato	tomato_root	LB	WT	tomato_root			Aerobic						Grown for 3 days	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Human	WT		2	1	tomato_root_2		
SRX1258667	9/18/16 20:49	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1000	SRR2444794	SRP063839	PRJNA296349	296349	SRS1073751	SAMN04096040	SRA299346	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1807489	GSE73192	GSM1888397		4096040	LT2	WT	NC_003197.2;NC_003277.2	tomato	tomato_root	LB	WT	tomato_root			Aerobic						Grown for 3 days	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Human	WT		3	1	tomato_root_3		
SRX1258669	9/18/16 20:49	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1000	SRR2444797	SRP063839	PRJNA296349	296349	SRS1073749	SAMN04096042	SRA299346	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1807491	GSE73192	GSM1888399		4096042	LT2	WT	NC_003197.2;NC_003277.2	tomato	LB	LB	WT	LB			Aerobic						Grown for 3 days	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Human	WT		2	1	LB_2		
