,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,module_name
16,argR,M00028,1.2795772820928761e-08,1.9257638095497783e-06,0.6,0.42857142857142855,0.5,3.0,5.0,7.0,"Ornithine biosynthesis, glutamate => ornithine"
17,argR,M00845,1.2795772820928761e-08,1.9257638095497783e-06,0.6,0.42857142857142855,0.5,3.0,5.0,7.0,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
18,argR,M00029,8.401193951531012e-06,0.0006321898448527086,0.5,0.2857142857142857,0.36363636363636365,2.0,4.0,7.0,Urea cycle
19,argR,M00844,8.401193951531012e-06,0.0006321898448527086,0.5,0.2857142857142857,0.36363636363636365,2.0,4.0,7.0,"Arginine biosynthesis, ornithine => arginine"
20,mraZ,M00080,3.8531595052256744e-05,0.01159801011072928,0.25,0.09375,0.13636363636363635,3.0,12.0,32.0,
21,fnr-1,M00178,3.198149888180321e-10,9.626431163422767e-08,0.2857142857142857,0.23076923076923078,0.25531914893617025,6.0,21.0,26.0,
22,fnr-1,M00179,2.7644504647007474e-08,4.160497949374625e-06,0.5,0.15384615384615385,0.23529411764705882,4.0,8.0,26.0,
23,27,M00051,7.203656141257709e-06,0.0021683004985185703,0.2222222222222222,0.6666666666666666,0.3333333333333333,2.0,9.0,3.0,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
24,malT,M00194,3.0743563583163455e-09,9.2538126385322e-07,1.0,0.3333333333333333,0.5,3.0,3.0,9.0,
25,malT,M00200,0.001644135915231926,0.09897698209696193,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,9.0,
26,malT,M00204,0.001644135915231926,0.09897698209696193,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,9.0,
27,malT,M00207,0.001644135915231926,0.09897698209696193,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,9.0,
28,malT,M00491,0.001644135915231926,0.09897698209696193,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,9.0,
29,cra,M00144,3.94712319898217e-12,1.188084082893633e-09,0.38461538461538464,0.5555555555555556,0.4545454545454546,5.0,13.0,9.0,"NADH:quinone oxidoreductase, prokaryotes"
30,cra,M00245,3.0743563583163455e-09,3.0846042128440665e-07,1.0,0.3333333333333333,0.5,3.0,3.0,9.0,
31,cra,M00246,3.0743563583163455e-09,3.0846042128440665e-07,1.0,0.3333333333333333,0.5,3.0,3.0,9.0,
32,narL,M00259,5.461268869463645e-10,1.643841929708557e-07,0.6666666666666666,0.26666666666666666,0.3809523809523809,4.0,6.0,15.0,
33,narL,M00529,2.540396769113451e-09,3.8232971375157437e-07,0.5,0.26666666666666666,0.3478260869565218,4.0,8.0,15.0,"Denitrification, nitrate => nitrogen"
34,narL,M00530,1.191842378973579e-08,1.195815186903491e-06,0.36363636363636365,0.26666666666666666,0.30769230769230765,4.0,11.0,15.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
35,narL,M00804,4.192408245026446e-05,0.0031547872043824004,0.5,0.13333333333333333,0.2105263157894737,2.0,4.0,15.0,"Complete nitrification, comammox, ammonia => nitrite => nitrate"
36,33,M00332,3.677362939758763e-19,1.1068862448673875e-16,0.7142857142857143,0.22727272727272727,0.3448275862068965,10.0,14.0,44.0,
37,33,M00542,4.099620281632601e-17,6.169928523857065e-15,0.6923076923076923,0.20454545454545456,0.3157894736842105,9.0,13.0,44.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
38,33,M00660,1.5518077559766957e-13,1.556980448496618e-11,0.7,0.1590909090909091,0.25925925925925924,7.0,10.0,44.0,"Xanthomonas spp. pathogenicity signature, T3SS and effectors"
39,purR,M00048,2.5021696603834247e-25,7.531530677754108e-23,0.8181818181818182,0.8181818181818182,0.8181818181818182,9.0,11.0,11.0,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"
40,37,M00332,0.00027341364931239543,0.04114875422151551,0.21428571428571427,0.057692307692307696,0.09090909090909091,3.0,14.0,52.0,
41,37,M00542,0.00021627327607736643,0.04114875422151551,0.23076923076923078,0.057692307692307696,0.09230769230769231,3.0,13.0,52.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
42,fliA-1,M00506,1.8116843171651573e-08,5.453169794667123e-06,1.0,0.06153846153846154,0.11594202898550725,4.0,4.0,65.0,
43,44,M00724,3.0875321712981995e-07,9.29347183560758e-05,1.0,0.07894736842105263,0.14634146341463414,3.0,3.0,38.0,
44,44,M00444,4.6930489003227776e-05,0.00706303859498578,1.0,0.05263157894736842,0.1,2.0,2.0,38.0,
45,44,M00723,0.00014017396057794528,0.010548090533490382,0.6666666666666666,0.05263157894736842,0.09756097560975609,2.0,3.0,38.0,
46,44,M00744,0.00014017396057794528,0.010548090533490382,0.6666666666666666,0.05263157894736842,0.09756097560975609,2.0,3.0,38.0,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE"
47,44,M00709,0.0004631594047013234,0.027882196163019665,0.4,0.05263157894736842,0.09302325581395349,2.0,5.0,38.0,
48,phoB,M00222,1.9132610876422533e-11,5.758915873803182e-09,1.0,0.3076923076923077,0.47058823529411764,4.0,4.0,13.0,
49,phoB,M00198,4.1812407809393356e-08,6.2927673753136995e-06,0.75,0.23076923076923078,0.3529411764705882,3.0,4.0,13.0,
50,phoB,M00434,5.207081283410901e-06,0.0005224438221022272,1.0,0.15384615384615385,0.2666666666666667,2.0,2.0,13.0,
51,fnr-2,M00239,6.0483239010424655e-05,0.018205454942137822,0.4,0.14285714285714285,0.21052631578947364,2.0,5.0,14.0,
52,49,M00721,3.5074983622449203e-07,0.0001055757007035721,0.36363636363636365,0.12121212121212122,0.18181818181818182,4.0,11.0,33.0,
53,49,M00349,0.0002098933998498579,0.031588956677403614,0.5,0.06060606060606061,0.10810810810810813,2.0,4.0,33.0,
54,49,M00739,0.0003485020144989668,0.034966368788063,0.4,0.06060606060606061,0.10526315789473685,2.0,5.0,33.0,
55,zur,M00178,8.372545194772992e-05,0.025201361036266707,0.09523809523809523,0.5,0.16,2.0,21.0,4.0,
56,51,M00153,2.1043622685585693e-07,6.334130428361293e-05,0.42857142857142855,0.2727272727272727,0.33333333333333326,3.0,7.0,11.0,Cytochrome bd ubiquinol oxidase
57,rbsR-1,M00212,6.007438722086039e-07,0.00018082390553478977,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,3.0,3.0,
58,rbsR-2,M00212,5.603526855730928e-06,0.0016866615835750092,0.6666666666666666,0.25,0.36363636363636365,2.0,3.0,8.0,
