,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX7476248,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802365,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771438,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,Low_3d,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,stationary,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,Low_3d_1,,,True,True,True,starvation:Low_3d,True,True
SRX976478,4/7/15 12:49,59201,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,59201,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950293;SRR1950295;SRR1950296,SRP056892,PRJNA280002,280002,SRS891589,SAMN03453230,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419826,,,25824832,3453230,ATCC14028s csgD mutant,csgD mutant,NC_016856.1;NC_016855.1,csgD,del_csgD_planktonic_TP2,WT_planktonic_TP1,del_csgD,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,csgD,,1.0,3 total,del_csgD_planktonic_TP2,,,True,True,True,csgD:del_csgD_planktonic_TP2,False,True
ERX1045674,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968700,ERP011094,PRJEB9939,293185,ERS795645,SAMEA3488496,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681364,,,27601571,3998225,delta STM14_3474,pBAD24,NC_016856.1;NC_016855.1,7TF,del_hilD,WT,del_hilD,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,hilD,ChIP-Seq,2.0,1,del_hilD_2,,,True,True,True,7TF:del_hilD,True,True
SRX2949967,2/16/18 16:58,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5749728,SRP110259,PRJNA391690,391690,SRS2308434,SAMN07271141,SRA580482,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4210554,GSE100414,GSM2680536,28874555,7271141,14028S,wild type,NC_016856.1;NC_016855.1,mgtCBR,empty_pBAD18,empty_pBAD18,wild type,N-minimal,,,Aerobic,"0.1% casamino acids, 38 mM glycerol,10 mM Mg2+",37C,,log,,Treatment: 15 min in N-minimal containing 0.5 mM Mg2+ and 10 mM l-arabinose. ,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,WT_1,,,True,True,True,mgtCBR:empty_pBAD18,True,True
ERX1045681,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968705,ERP011094,PRJEB9939,293185,ERS795652,SAMEA3488503,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681371,,,27601571,3998232,14028s wild type,pBAD24,NC_016856.1;NC_016855.1,7TF,WT,WT,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,ChIP-Seq,2.0,1,WT_2,,,True,True,True,7TF:WT,True,True
SRX1816857,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621122,SRP076025,PRJNA324247,324247,SRS1479616,SAMN05199034,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597720,GSE82167,GSM2185207,30201777,5199034,14028S,wildtype,NC_016856.1;NC_016855.1,MMC,WT_No_treatment,WT_No_treatment,WT,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,1.0,1,WT_1,,,True,True,True,MMC:WT_No_treatment,True,True
SRX3456063,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360001,SRP126360,PRJNA421560,421560,SRS2744762,SAMN08146618,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814930,GSE107835,GSM2881310,30682134,8146618,14028s,wild type,NC_016856.1;NC_016855.1,csrA,10min_LB_WT,0min_LB_WT,WT,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,1.0,1,10min_LB_WT_1,,,True,True,True,csrA:10min_LB_WT,True,True
SRX7476249,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802364,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771439,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,Low_3d,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,stationary,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,2.0,1,Low_3d_2,,,True,True,True,starvation:Low_3d,True,True
SRX976341,4/7/15 12:49,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950210;SRR1950211;SRR1950212,SRP056892,PRJNA280002,280002,SRS891495,SAMN03453224,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419689,,,25824832,3453224,ATCC 14028s,wild type,NC_016856.1;NC_016855.1,csgD,WT_aggregate_TP2,WT_planktonic_TP1,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,WT,,1.0,3 total,WT_aggregate_TP2,,,True,True,True,csgD:WT_aggregate_TP2,False,True
SRX1816863,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621128,SRP076025,PRJNA324247,324247,SRS1479622,SAMN05199040,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597726,GSE82167,GSM2185213,30201777,5199040,14028S,rtcR,NC_016856.1;NC_016855.1,MMC,del_rtcR_No_treatment,WT_No_treatment,del_rtcR,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcR,,1.0,1,del_rtcR_1,,,True,True,True,MMC:del_rtcR_No_treatment,True,True
SRX7514159,1/7/20 14:28,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843530,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810539,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,0_Novobiocin_60min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,0_N_60min_1,,,True,True,True,novobiocin:0_Novobiocin_60min,True,True
SRX7476252,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802361,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771442,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,Glucose_24h,Glucose_6h,WT,AB,Glucose,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,stationary,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,Glucose_24h_1,,,True,True,True,starvation:Glucose_24h,True,True
SRX976476,4/7/15 12:49,59201,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,59201,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950265;SRR1950291;SRR1950292,SRP056892,PRJNA280002,280002,SRS891589,SAMN03453230,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419824,,,25824832,3453230,ATCC14028s csgD mutant,csgD mutant,NC_016856.1;NC_016855.1,csgD,del_csgD_planktonic_TP1,WT_planktonic_TP1,del_csgD,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,csgD,,1.0,3 total,del_csgD_planktonic_TP1,,,True,True,True,csgD:del_csgD_planktonic_TP1,False,True
SRX1816867,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621132,SRP076025,PRJNA324247,324247,SRS1479626,SAMN05199044,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597730,GSE82167,GSM2185217,30201777,5199044,14028S,rtcR,NC_016856.1;NC_016855.1,MMC,del_rtcR_3mM_MMC,WT_No_treatment,del_rtcR,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcR,,2.0,1,del_rtcR_MMC_2,,,True,True,True,MMC:del_rtcR_3mM_MMC,True,True
SRX1816858,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621123,SRP076025,PRJNA324247,324247,SRS1479617,SAMN05199035,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597721,GSE82167,GSM2185208,30201777,5199035,14028S,wildtype,NC_016856.1;NC_016855.1,MMC,WT_No_treatment,WT_No_treatment,WT,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,2.0,1,WT_2,,,True,True,True,MMC:WT_No_treatment,True,True
SRX7476246,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802367,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771436,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,High_4d,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,stationary,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,High_4d_1,,,True,True,True,starvation:High_4d,True,True
SRX3456076,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360014,SRP126360,PRJNA421560,421560,SRS2744773,SAMN08146624,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814943,GSE107835,GSM2881323,30682134,8146624,14028s,csrA:: (markerless deletion of CDS after 51st codon),NC_016856.1;NC_016855.1,csrA,2.5min_LB_csrA,0min_LB_WT,csrA mutant,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,csrA mutant,,2.0,1,2.5min_LB_csrA_2,,,True,True,True,csrA:2.5min_LB_csrA,True,True
SRX7514156,1/7/20 14:27,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843533,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810536,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,0_Novobiocin_0min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,0_N_0min_1,,,True,True,True,novobiocin:0_Novobiocin_0min,True,True
SRX3456082,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360020,SRP126360,PRJNA421560,421560,SRS2744779,SAMN08146644,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814949,GSE107835,GSM2881329,30682134,8146644,14028s,wild type,NC_016856.1;NC_016855.1,csrA,5min_mLPM_WT,0min_LB_WT,WT,mLPM,,,Aerobic,,37C,5.8,mid-log,0.3,mLPM favors SPI-2 expression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,1.0,1,5min_mLPM_WT_1,,,True,True,True,csrA:5min_mLPM_WT,True,True
ERX1045662,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968702,ERP011094,PRJEB9939,293185,ERS795633,SAMEA3488484,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681352,,,27601571,3998213,delta STM14_3474,pBAD24-STM14_3474,NC_016856.1;NC_016855.1,7TF,hilD,WT,hilD,LB,,,Aerobic,,37C,,,,hilD deletion and overexpression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,hilD,ChIP-Seq,2.0,1,hilD_2,,,True,True,True,7TF:hilD,True,True
SRX3456094,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360032,SRP126360,PRJNA421560,421560,SRS2744790,SAMN08146632,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814961,GSE107835,GSM2881341,30682134,8146632,14028s,csrA:: (markerless deletion of CDS after 51st codon),NC_016856.1;NC_016855.1,csrA,15min_mLPM_csrA,0min_LB_WT,csrA mutant,mLPM,,,Aerobic,,37C,5.8,mid-log,0.3,mLPM favors SPI-2 expression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,csrA mutant,,1.0,1,15min_mLPM_csrA_1,,,True,True,True,csrA:15min_mLPM_csrA,True,True
SRX7514162,1/7/20 14:27,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843527,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810542,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,100_Novobiocin_60min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,100_N_60min_1,,,True,True,True,novobiocin:100_Novobiocin_60min,True,True
