Experiment,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,Host,ScientificNameCurated,Biosample,R1,R2
ERX1045664,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968682,ERP011094,PRJEB9939,293185,ERS795635,SAMEA3488486,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681354,,,,3998215,delta STM14_5187,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045665,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968698,ERP011094,PRJEB9939,293185,ERS795636,SAMEA3488487,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681355,,,,3998216,delta STM14_3475,pBAD24-STM14_3475,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045666,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968701,ERP011094,PRJEB9939,293185,ERS795637,SAMEA3488488,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681356,,,,3998217,delta STM14_3463,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045667,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968693,ERP011094,PRJEB9939,293185,ERS795638,SAMEA3488489,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681357,,,,3998218,delta STM14_3498,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045668,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968711,ERP011094,PRJEB9939,293185,ERS795639,SAMEA3488490,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681358,,,,3998219,delta STM14_3474,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045669,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968688,ERP011094,PRJEB9939,293185,ERS795640,SAMEA3488491,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681359,,,,3998220,delta STM14_5187,pBAD24-STM14_5187,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045670,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968684,ERP011094,PRJEB9939,293185,ERS795641,SAMEA3488492,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681360,,,,3998221,delta STM14_5188,pBAD24-STM14_5188,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045671,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968686,ERP011094,PRJEB9939,293185,ERS795642,SAMEA3488493,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681361,,,,3998222,delta STM14_3475,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045672,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968703,ERP011094,PRJEB9939,293185,ERS795643,SAMEA3488494,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681362,,,,3998223,delta STM14_3475,pBAD24-STM14_3475,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045673,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968687,ERP011094,PRJEB9939,293185,ERS795644,SAMEA3488495,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681363,,,,3998224,delta STM14_3474,pBAD24-STM14_3474,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045674,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968700,ERP011094,PRJEB9939,293185,ERS795645,SAMEA3488496,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681364,,,,3998225,delta STM14_3474,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045675,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968680,ERP011094,PRJEB9939,293185,ERS795646,SAMEA3488497,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681365,,,,3998226,delta STM14_3463,pBAD24-STM14_3463,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045676,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968710,ERP011094,PRJEB9939,293185,ERS795647,SAMEA3488498,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681366,,,,3998227,delta STM14_3465,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045677,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968697,ERP011094,PRJEB9939,293185,ERS795648,SAMEA3488499,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681367,,,,3998228,delta STM14_3498,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045678,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968706,ERP011094,PRJEB9939,293185,ERS795649,SAMEA3488500,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681368,,,,3998229,delta STM14_5188,pBAD24-STM14_5188,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045679,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968692,ERP011094,PRJEB9939,293185,ERS795650,SAMEA3488501,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681369,,,,3998230,delta STM14_5187,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045680,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968704,ERP011094,PRJEB9939,293185,ERS795651,SAMEA3488502,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681370,,,,3998231,delta STM14_3463,pBAD24-STM14_3463,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045681,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968705,ERP011094,PRJEB9939,293185,ERS795652,SAMEA3488503,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681371,,,,3998232,14028s wild type,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045682,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968699,ERP011094,PRJEB9939,293185,ERS795653,SAMEA3488504,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681372,,,,3998233,delta STM14_3465,pBAD24-STM14_3465,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045683,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968689,ERP011094,PRJEB9939,293185,ERS795654,SAMEA3488505,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681373,,,,3998234,delta STM14_3498,pBAD24-STM14_3498,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045684,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968709,ERP011094,PRJEB9939,293185,ERS795655,SAMEA3488506,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681374,,,,3998235,14028s wild type,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045685,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968707,ERP011094,PRJEB9939,293185,ERS795656,SAMEA3488507,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681375,,,,3998236,delta STM14_3498,pBAD24-STM14_3498,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045686,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968685,ERP011094,PRJEB9939,293185,ERS795657,SAMEA3488508,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681376,,,,3998237,delta STM14_5188,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045687,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968695,ERP011094,PRJEB9939,293185,ERS795658,SAMEA3488509,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681377,,,,3998238,delta STM14_5187,pBAD24-STM14_5187,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045688,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968691,ERP011094,PRJEB9939,293185,ERS795659,SAMEA3488510,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681378,,,,3998239,delta STM14_3475,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045689,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968696,ERP011094,PRJEB9939,293185,ERS795660,SAMEA3488511,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681379,,,,3998240,delta STM14_5188,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1409468,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337882,ERP014698,PRJEB13158,329399,ERS1094608,SAMEA3907474,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812744,,,,5411400,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409469,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337883,ERP014698,PRJEB13158,329399,ERS1094609,SAMEA3907475,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812745,,,,5411401,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409470,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337884,ERP014698,PRJEB13158,329399,ERS1094610,SAMEA3907476,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812746,,,,5411402,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409471,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337885,ERP014698,PRJEB13158,329399,ERS1094611,SAMEA3907477,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812747,,,,5411403,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409472,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337886,ERP014698,PRJEB13158,329399,ERS1094612,SAMEA3907478,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812748,,,,5411404,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409473,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337887,ERP014698,PRJEB13158,329399,ERS1094613,SAMEA3907479,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812749,,,,5411405,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409474,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337888,ERP014698,PRJEB13158,329399,ERS1094614,SAMEA3907480,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812750,,,,5411406,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409475,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337889,ERP014698,PRJEB13158,329399,ERS1094615,SAMEA3907481,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812751,,,,5411407,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409476,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337890,ERP014698,PRJEB13158,329399,ERS1094616,SAMEA3907482,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812752,,,,5411408,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409477,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337891,ERP014698,PRJEB13158,329399,ERS1094617,SAMEA3907483,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812753,,,,5411409,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409478,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337892,ERP014698,PRJEB13158,329399,ERS1094618,SAMEA3907484,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812754,,,,5411410,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409479,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1337893,ERP014698,PRJEB13158,329399,ERS1094619,SAMEA3907485,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,101,50,2812755,,,,5411411,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
ERX1409480,7/16/16 8:45,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 1500,ERR1337876,ERP014698,PRJEB13158,329399,ERS1094620,SAMEA3907486,ERA589098,RNA-Seq,cDNA,TRANSCRIPTOMIC,,Laboratory of Molecular Medicine and Genomics,0,0,2812756,,,,5411412,LT2,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,
