,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ERX3475895,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453919,ERP116523,PRJEB33710,636716,ERS3604634,SAMEA5816038,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,27040414,0,10991621,,,,15084699,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,PABN,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,100ug/ml PABN,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,4,1,PABN_4,,,True,True,True,efflux_inhibition:PABN,True,True
ERX3475896,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453920,ERP116523,PRJEB33710,636716,ERS3604635,SAMEA5816039,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,958148,0,10991622,,,,15084700,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,no_treatment,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,1,1,no_treatment_1,,,True,True,True,efflux_inhibition:no_treatment,True,True
ERX3475897,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453921,ERP116523,PRJEB33710,636716,ERS3604636,SAMEA5816040,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,1851650,0,10991623,,,,15084701,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,no_treatment,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,2,1,no_treatment_2,,,True,True,True,efflux_inhibition:no_treatment,True,True
ERX3475899,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453923,ERP116523,PRJEB33710,636716,ERS3604638,SAMEA5816042,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,24906671,0,10991625,,,,15084703,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,no_treatment,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,4,1,no_treatment_4,,,True,True,True,efflux_inhibition:no_treatment,True,True
ERX3475900,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453924,ERP116523,PRJEB33710,636716,ERS3604639,SAMEA5816043,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,8013853,0,10991626,,,,15084704,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,Chlorpromazine,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,50ug/ml chlorpromazine,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,4,1,Chlorpromazine_4,,,True,True,True,efflux_inhibition:Chlorpromazine,True,True
ERX3475901,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453925,ERP116523,PRJEB33710,636716,ERS3604640,SAMEA5816044,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,36722951,0,10991627,,,,15084705,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,PABN,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,100ug/ml PABN,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,2,1,PABN_2,,,True,True,True,efflux_inhibition:PABN,True,True
ERX540771,8/21/14 0:53,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR582684,ERP004323,PRJEB4981,258617,ERS371091,SAMEA2250443,ERA349608,RNA-Seq,cDNA,TRANSCRIPTOMIC,,SC,350,0,957700,,,,3000133,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,single_carbon_source,mucic,mucic,WT,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,TraDIS,1,1,mucic_1,,,True,True,True,single_carbon_source:mucic,True,True
ERX540772,8/21/14 0:53,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR582685,ERP004323,PRJEB4981,258617,ERS371092,SAMEA2250444,ERA349608,RNA-Seq,cDNA,TRANSCRIPTOMIC,,SC,350,0,957701,,,,3000134,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,single_carbon_source,mucic,mucic,WT,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,TraDIS,2,1,mucic_2,,,True,True,True,single_carbon_source:mucic,True,True
ERX540773,8/21/14 0:53,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR582686,ERP004323,PRJEB4981,258617,ERS371093,SAMEA2250445,ERA349608,RNA-Seq,cDNA,TRANSCRIPTOMIC,,SC,350,0,957702,,,,3000135,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,single_carbon_source,tartarate,mucic,WT,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,TraDIS,1,1,tartarate_1,,,True,True,True,single_carbon_source:tartarate,True,True
ERX540774,8/21/14 0:53,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR582687,ERP004323,PRJEB4981,258617,ERS371094,SAMEA2250446,ERA349608,RNA-Seq,cDNA,TRANSCRIPTOMIC,,SC,350,0,957703,,,,3000136,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,single_carbon_source,tartarate,mucic,WT,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,TraDIS,2,1,tartarate_2,,,True,True,True,single_carbon_source:tartarate,True,True
SRX1470895,12/11/15 16:39,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR2981441,SRP057246,PRJNA281341,281341,SRS1198134,SAMN04327096,SRA259591,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2079769,GSE67949,GSM1967909,26789254,4327096,SL1344,pinT_trans_complementation,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,PinT,pinT+_1h,pinT+_1h,pinT+,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,pinT,dual RNAseq,2,1,pinT+_1h_2,,,True,True,True,PinT:pinT+_1h,True,True
SRX1470896,12/11/15 16:39,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR2981442,SRP057246,PRJNA281341,281341,SRS1198133,SAMN04327097,SRA259591,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2079770,GSE67949,GSM1967910,26789254,4327097,SL1344,pinT_trans_complementation,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,PinT,pinT+_1h,pinT+_1h,pinT+,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,pinT,dual RNAseq,3,1,pinT+_1h_3,,,True,True,True,PinT:pinT+_1h,True,True
SRX2070419,9/1/19 10:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105770,SRP083904,PRJNA341384,341384,SRS1661020,SAMN05720790,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064672,GSE86311,GSM2299960,,5720790,opgGH mutant,opgGH mutant,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,del_opgGH,WT,del_opgGH,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,1,1,del_opgGH_1,,,True,True,True,OPG:del_opgGH,True,True
SRX2070420,9/1/19 10:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105771,SRP083904,PRJNA341384,341384,SRS1661021,SAMN05720789,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064673,GSE86311,GSM2299961,,5720789,opgGH mutant,opgGH mutant,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,del_opgGH,WT,del_opgGH,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,2,1,del_opgGH_2,,,True,True,True,OPG:del_opgGH,True,True
SRX2070421,9/1/19 10:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105772,SRP083904,PRJNA341384,341384,SRS1661022,SAMN05720788,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064674,GSE86311,GSM2299962,,5720788,opgGH mutant,opgGH mutant,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,del_opgGH,WT,del_opgGH,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,3,1,del_opgGH_3,,,True,True,True,OPG:del_opgGH,True,True
SRX2070422,9/1/19 10:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105773,SRP083904,PRJNA341384,341384,SRS1661023,SAMN05720787,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064675,GSE86311,GSM2299963,,5720787,opgGH mutant with pBK16 plasmid,opgGH mutant with pBK16 plasmid,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,del_opgGH_pBK16,WT,del_opgGH_pBK16,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,1,1,del_opgGH_pBK16_1,,,True,True,True,OPG:del_opgGH_pBK16,True,True
SRX2070423,9/1/19 10:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105774,SRP083904,PRJNA341384,341384,SRS1661024,SAMN05720786,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064676,GSE86311,GSM2299964,,5720786,opgGH mutant with pBK16 plasmid,opgGH mutant with pBK16 plasmid,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,del_opgGH_pBK16,WT,del_opgGH_pBK16,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,2,1,del_opgGH_pBK16_2,,,True,True,True,OPG:del_opgGH_pBK16,True,True
SRX2070424,9/1/19 10:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105775,SRP083904,PRJNA341384,341384,SRS1661025,SAMN05720785,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064677,GSE86311,GSM2299965,,5720785,opgGH mutant with pBK16 plasmid,opgGH mutant with pBK16 plasmid,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,del_opgGH_pBK16,WT,del_opgGH_pBK16,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,3,1,del_opgGH_pBK16_3,,,True,True,True,OPG:del_opgGH_pBK16,True,True
SRX2070425,9/1/19 10:02,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105776,SRP083904,PRJNA341384,341384,SRS1661026,SAMN05720784,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064678,GSE86311,GSM2299966,,5720784,wild type,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,WT,WT,WT,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,opgGH,,1,1,WT_1,,,True,True,True,OPG:WT,True,True
SRX2070426,9/1/19 10:02,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105777,SRP083904,PRJNA341384,341384,SRS1661027,SAMN05720783,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064679,GSE86311,GSM2299967,,5720783,wild type,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,WT,WT,WT,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,2,1,WT_2,,,True,True,True,OPG:WT,True,True
SRX2070427,9/1/19 10:02,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR4105778,SRP083904,PRJNA341384,341384,SRS1661028,SAMN05720782,SRA458985,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3064680,GSE86311,GSM2299968,,5720782,wild type,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,OPG,WT,WT,WT,LB,,,Aerobic,"ampicillin(100lgml-1), kanamycin(50lgml-1) and nalidixic acid (10lgml-1)",37C,,,,https://link.springer.com/article/10.1007%2Fs00284-017-1267-1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,3,1,WT_3,,,True,True,True,OPG:WT,True,True
SRX2409106,6/12/17 15:57,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5092215,SRP094837,PRJNA356844,356844,SRS1847345,SAMN06128020,SRA501889,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3501139,GSE91086,GSM2420813,28611217,6128020,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,cold_shock_protein,WT_RNAseq,WT_RNAseq,WT,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,WT,"RIP-Seq, dual-RNA-Seq",1,1,WT_RNAseq_1,,,True,True,True,cold_shock_protein:WT_RNAseq,True,True
SRX2409107,6/12/17 15:57,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5092216,SRP094837,PRJNA356844,356844,SRS1847346,SAMN06128019,SRA501889,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3501140,GSE91086,GSM2420814,28611217,6128019,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,cold_shock_protein,WT_RNAseq,WT_RNAseq,WT,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,WT,"RIP-Seq, dual-RNA-Seq",2,1,WT_RNAseq_2,,,True,True,True,cold_shock_protein:WT_RNAseq,True,True
