Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	reference_condition	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	ScientificName_curated	Host	Knockout	Other_available_omics	Biological_replicate	Technical_replicate	SampleID	R1	R2
SRX8757627	2020-07-19 13:45:33	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252261	SRP272407	PRJNA646976	646976	SRS7029029	SAMN15569590	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391505	GSE154668	GSM4676797		15569590	SL1344	{delta}rcsB S207A RcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_S207C	del_rcsB_WT	del_rcsB_S207C	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_S207C_3		
SRX8757628	2020-07-27 13:20:59	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252262	SRP272407	PRJNA646976	646976	SRS7029031	SAMN15569610	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391506	GSE154668	GSM4676798		15569610	SL1344	{delta}rcsB RcsB WT	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_WT	del_rcsB_WT	del_rcsB_WT	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_WT_3		
SRX8757629	2020-07-19 13:45:33	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252263	SRP272407	PRJNA646976	646976	SRS7029030	SAMN15569609	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391507	GSE154668	GSM4676799		15569609	SL1344	{delta}rcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB	del_rcsB_WT	del_rcsB	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_3		
SRX8757630	2020-07-19 13:53:41	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252264	SRP272407	PRJNA646976	646976	SRS7029032	SAMN15569608	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391508	GSE154668	GSM4676800		15569608	SL1344	{delta}rcsB H12A RcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_H12A	del_rcsB_WT	del_rcsB_H12A	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_H12A_3		
SRX8757631	2020-07-19 14:21:36	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252265	SRP272407	PRJNA646976	646976	SRS7029034	SAMN15569607	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391509	GSE154668	GSM4676801		15569607	SL1344	{delta}rcsB D56A RcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_D56A	del_rcsB_WT	del_rcsB_D56A	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_D56A_3		
SRX8757632	2020-07-19 13:53:41	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252266	SRP272407	PRJNA646976	646976	SRS7029033	SAMN15569606	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391510	GSE154668	GSM4676802		15569606	SL1344	{delta}rcsB M88A RcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_M88A	del_rcsB_WT	del_rcsB_M88A	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_M88A_3		
SRX8757633	2020-07-19 14:18:13	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252267	SRP272407	PRJNA646976	646976	SRS7029035	SAMN15569605	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391511	GSE154668	GSM4676803		15569605	SL1344	{delta}rcsB H77A RcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_H77A	del_rcsB_WT	del_rcsB_H77A	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_H77A_3		
SRX8757634	2020-07-19 13:53:41	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 4000	SRR12252268	SRP272407	PRJNA646976	646976	SRS7029036	SAMN15569604	SRA1100193	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11391512	GSE154668	GSM4676804		15569604	SL1344	{delta}rcsB L108A RcsB	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	rcsB	del_rcsB_L108A	del_rcsB_WT	del_rcsB_L108A	LB			Aerobic				log	0.25		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		rcsB		3	1	del_rcsB_L108A_3		
SRX8524961	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991126	SRP266989	PRJNA638747	638747	SRS6819679	SAMN15203257	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078215	GSE152227	GSM4609627	32900812	15203257	GX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	GX_EE	WT_EE	GX	LB			Aerobic		37C		Early-exponential	0.4		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	1	1	GX_EE_1		
SRX8524962	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991127	SRP266989	PRJNA638747	638747	SRS6819680	SAMN15203256	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078216	GSE152227	GSM4609628	32900812	15203256	GX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	GX_EE	WT_EE	GX	LB			Aerobic		37C		Early-exponential	0.4		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	2	1	GX_EE_2		
SRX8524963	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991128	SRP266989	PRJNA638747	638747	SRS6819681	SAMN15203255	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078217	GSE152227	GSM4609629	32900812	15203255	GX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	GX_TS	WT_EE	GX	LB			Aerobic		37C		Transition-to-stationary	3		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	1	1	GX_TS_1		
SRX8524964	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991129	SRP266989	PRJNA638747	638747	SRS6819682	SAMN15203254	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078218	GSE152227	GSM4609630	32900812	15203254	GX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	GX_TS	WT_EE	GX	LB			Aerobic		37C		Transition-to-stationary	3		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	2	1	GX_TS_2		
SRX8524965	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991130	SRP266989	PRJNA638747	638747	SRS6819683	SAMN15203253	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078219	GSE152227	GSM4609631	32900812	15203253	WT		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	WT_EE	WT_EE	WT	LB			Aerobic		37C		Early-exponential	0.4		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	1	1	WT_EE_1		
SRX8524966	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991131	SRP266989	PRJNA638747	638747	SRS6819684	SAMN15203252	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078220	GSE152227	GSM4609632	32900812	15203252	WT		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	WT_EE	WT_EE	WT	LB			Aerobic		37C		Early-exponential	0.4		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	2	1	WT_EE_2		
SRX8524967	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991132	SRP266989	PRJNA638747	638747	SRS6819685	SAMN15203251	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078221	GSE152227	GSM4609633	32900812	15203251	WT		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	WT_TS	WT_EE	WT	LB			Aerobic		37C		Transition-to-stationary	3		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	1	1	WT_TS_1		
SRX8524968	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	PAIRED	ILLUMINA	NextSeq 500	SRR11991133	SRP266989	PRJNA638747	638747	SRS6819686	SAMN15203250	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078222	GSE152227	GSM4609634	32900812	15203250	WT		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	WT_TS	WT_EE	WT	LB			Aerobic		37C		Transition-to-stationary	3		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	2	1	WT_TS_2		
SRX8524969	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	SINGLE	ILLUMINA	NextSeq 500	SRR11991134	SRP266989	PRJNA638747	638747	SRS6819687	SAMN15203249	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078223	GSE152227	GSM4609635	32900812	15203249	OX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	OX_EE	WT_EE	OX	LB			Aerobic		37C		Early-exponential	0.4		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	1	1	OX_EE_1		
SRX8524970	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	SINGLE	ILLUMINA	NextSeq 500	SRR11991135	SRP266989	PRJNA638747	638747	SRS6819688	SAMN15203248	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078224	GSE152227	GSM4609636	32900812	15203248	OX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	OX_EE	WT_EE	OX	LB			Aerobic		37C		Early-exponential	0.4		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	2	1	OX_EE_2		
SRX8524971	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	SINGLE	ILLUMINA	NextSeq 500	SRR11991136	SRP266989	PRJNA638747	638747	SRS6819689	SAMN15203247	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078225	GSE152227	GSM4609637	32900812	15203247	OX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	OX_TS	WT_EE	OX	LB			Aerobic		37C		Transition-to-stationary	3		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	1	1	OX_TS_1		
SRX8524972	2020-07-07 16:33:42	216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	216597	Salmonella enterica	SINGLE	ILLUMINA	NextSeq 500	SRR11991137	SRP266989	PRJNA638747	638747	SRS6819690	SAMN15203246	SRA1085541	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	11078226	GSE152227	GSM4609638	32900812	15203246	OX		NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	fis_regulatory_network	OX_TS	WT_EE	OX	LB			Aerobic		37C		Transition-to-stationary	3		Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344			ChIP-Seq	2	1	OX_TS_2		
SRX7973255	2020-03-25 17:23:03	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR11394438	SRP253755	PRJNA614513	614513	SRS6358053	SAMN14428302	SRA1058360	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	10409081	GSE147414	GSM4430235	32413287	14428302		WT	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	dephostatin	LB_DMSO	LB_DMSO	WT	LB			Aerobic		37C		mid-log		treated with DMSO (0.25%) 	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		WT		1	1	LB_DMSO_1		
SRX7973256	2020-03-25 17:23:03	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR11394439	SRP253755	PRJNA614513	614513	SRS6358054	SAMN14428301	SRA1058360	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	10409082	GSE147414	GSM4430236	32413287	14428301		WT	NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1	dephostatin	LB_DMSO	LB_DMSO	WT	LB			Aerobic		37C		mid-log		treated with DMSO (0.25%) 	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		WT		2	1	LB_DMSO_2		
